name,PA,b2a,dist,cx,cy,Re,Mass,error_Mass,lSFR,error_lSFR
1414,117.5626964,0.31527607,74.60218072,191.0013413,200.3561531,3.62413583,10.49562177,0.083261705,0.788995204,0.05843226
2MIG,29.14563203,0.580055902,101.7755808,159.0594634,159.5977284,2.705841742,11.26114463,0.11449747,-1.036215325,0.065258438
3C029,22.88368929,0.93453958,180.6347515,180.1178453,156.2592786,5.750922012,11.4480447,0.131659976,-1.365382122,0.06067022
3C076.1,46.98893927,0.804071002,130.9646721,175.0243934,161.6941403,2.426868692,10.91010636,0.129399476,-2.114534493,0.057637488
3C196.1,146.5449348,0.506065067,668.8792608,164.6167785,168.1380349,16.09181128,11.63685014,0.145060192,0.500034341,0.054920425
3C198,170.3538357,0.762148211,312.9549488,191.7313689,160.8251228,3.723104843,10.67047981,0.158997655,0.571848848,0.053982225
3C227,61.23584191,0.726560036,330.3533319,180.4039816,150.0698277,2.195700684,11.13164958,0.160759863,0.804346154,0.053565864
3C264,72.37385928,0.913171944,89.06627298,184.6451097,166.6589037,4.058943619,11.25468241,0.106813231,-1.121169883,0.060308147
3C277.3,94.9044971,0.990112149,328.0694869,189.9862086,160.7201216,5.25017017,11.19614286,0.109297066,0.712726219,0.056181603
3C296,68.13761003,0.853981633,101.5171857,168.1686697,154.8594614,5.519376059,11.53232914,0.084292959,-1.661509285,0.059386135
3C318.1,14.00751076,0.636630956,177.5864709,183.0325788,157.6356064,9.357645583,11.32043735,0.1172649,-1.172959436,0.060609581
3C442,29.043227,0.624504,107.5684346,181.1860876,155.6110285,5.315326265,11.24504273,0.102582677,-1.274825599,0.058204299
3C75_b,169.611459,0.899588984,96.9574603,208.0860518,472.4847911,2.164526634,11.36899634,0.084323626,-2.27835342,0.064145952
3C75,159.3895,0.756664706,95.20620069,214.428329,553.3195908,1.940649151,11.41769082,0.0817225,-1.957347884,0.063623886
3C,74.47992334,0.992204419,536.2809666,166.1068399,162.265961,5.059374996,12.29038074,0.18370823,-1.851454262,0.055071202
A2052_WFM,128.8787125,0.679895705,139.6322838,164.7072338,146.3438025,8.106068431,11.21140068,0.089489562,-0.433141191,0.054494101
A2626,125.7854725,0.554220064,216.5792792,160.2857086,172.0716247,13.30102994,11.47979091,0.119960646,-0.874837211,0.063615655
A3128_B_0148,28.53446351,0.555260564,227.3220356,172.2250789,170.1138483,1.704290476,9.925359166,0.146222158,-0.070381732,0.052843503
