name,FWHM,sigma_FWHM
1414,0.565,0.071
2MIG,0.581,0.033
3C029,0.737,0.024
3C076.1,0.923,0.121
3C196.1,0.62,0.034
3C198,0.8,0.014
3C227,1.083,0.024
3C264,1.416,0.138
3C277.3,0.803,0.016
3C296,0.973,0.245
3C318.1,1.699,0.181
3C442,0.793,0.038
3C75_b,0.92,0.164
3C75,0.92,0.164
3C,0.689,0.0
A2052_WFM,1.094,0.441
A2626,1.395,0.023
A3128_B_0148,0.73,0.052
A3266_B_0257,0.939,0.198
AM1331-231,1.219,0.125
AM1440-241_b,2.295,1.387
AM1440-241,2.295,1.387
AM1914-603,1.997,0.858
AM1957-471,1.608,0.356
AM2019-442,1.054,0.108
AM2034-521,1.154,0.124
AM2038-323,1.171,0.06
AM2050-441,1.195,0.019
AM2105-332_b,0.993,0.11
AM2105-332,0.993,0.11
AM2113-341,0.65,0.013
AM2126-601,1.826,0.399
AM2146-350,1.261,0.122
AM2210-262,1.434,0.364
AM2303-305,0.937,0.033
AM2325-473,1.137,0.078
Arp288,0.558,0.02
Arp,0.704,0.079
ASASS14kp,1.533,0.102
ASASSN13an,1.99,0.672
ASASSN13ar_1,0.836,0.052
ASASSN13bb_1,0.992,0.172
ASASSN13cc_2_new,0.936,0.311
ASASSN13ch,0.397,0.025
ASASSN13cj,0.652,0.05
ASASSN13cp,0.884,0.022
ASASSN13cu,1.16,0.176
ASASSN13dd_1,1.016,0.037
ASASSN14ad,1.538,0.209
ASASSN14at,0.537,0.027
ASASSN-14az,0.901,0.112
ASASSN14ba,0.865,0.093
ASASSN14bf,3.187,1.547
ASASSN14co,0.637,0.024
ASASSN14db,2.193,0.248
ASASSN14dd_1,1.227,0.224
ASASSN14dl_1,1.939,0.639
ASASSN-14dq,1.519,0.064
ASASSN14dz,2.55,0.923
ASASSN14eu,1.354,0.374
ASASSN14fa,1.069,0.31
ASASSN14fd,0.569,0.027
ASASSN14hu,0.686,0.046
ASASSN14ig_1,0.732,0.027
ASASSN14iz,1.183,0.054
ASASSN14jb_2,0.859,0.087
ASASSN14jg,0.742,0.073
ASASSN14jz,0.908,0.107
ASASSN14ko,0.655,0.043
ASASSN14kr,1.086,0.121
ASASSN14li,1.12,0.135
ASASSN14lp_1_new,1.034,0.14
ASASSN14lt,0.88,0.101
ASASSN14lv,0.785,0.082
ASASSN-14ma,2.534,0.499
ASASSN14me_2,1.713,0.411
ASASSN14mw,2.538,0.818
ASASSN15ab,1.529,0.2
ASASSN-15bd,0.991,0.072
ASASSN15db,1.979,0.779
ASASSN-15hf,0.827,0.085
ASASSN-15ho_b,0.828,0.072
ASASSN-15hs,1.366,0.068
ASASSN-15hx,1.317,0.064
ASASSN-15hy,2.85,1.022
ASASSN-15ja,3.853,0.0
ASASSN-15jp,1.053,0.049
ASASSN-15kj,1.996,0.753
ASASSN-15kz,1.298,0.495
ASASSN-15lh_b,1.139,0.242
ASASSN-15lh,1.139,0.242
ASASSN-15ln,1.284,0.121
ASASSN-15lx,1.076,0.304
ASASSN-15ng,1.557,0.105
ASASSN-15qh,1.003,0.071
ASASSN-15ta,1.299,0.025
ASASSN-15tu,1.435,0.166
ASASSN-16ab,1.669,0.384
ASASSN-16ai,1.108,0.194
ASASSN-16ba,0.942,0.066
ASASSN-16go,0.938,0.04
ASASSN-16in,1.287,0.312
ASASSN-17ny,1.234,0.029
ASASSN-17oj,0.675,0.065
ASASSN-18eo,0.846,0.144
ASASSN-18oa,0.815,0.091
ASASSN-18ul,1.412,0.575
ATLAS17hpc,1.031,0.073
ATLAS17lsn,2.303,1.422
CCC,0.588,0.032
CEN06,1.075,0.146
CSS121006232854,1.384,0.181
CSS121114_090202+101800,0.588,0.03
ESO097-013,1.136,0.135
ESO137-001,0.952,0.242
ESO148-IG002,0.795,0.087
ESO157-49,0.981,0.4
ESO185,1.061,0.108
ESO_244-G012,0.93,0.087
ESO320-14,0.806,0.048
ESO321-14,0.772,0.051
ESO325-G004,0.466,0.034
ESO_353-G020,1.205,0.347
ESO379-7_2,0.601,0.084
ESO379-G024,0.657,0.078
ESO443-21,0.814,0.118
ESO469-15,0.94,0.265
ESO498-G5,0.567,0.059
ESO499-G37,0.48,0.058
ESO544-27,1.419,0.191
ESO,0.883,0.068
FCC177_center,1.413,0.856
FCC190,0.821,0.126
FCC249,0.846,0.101
FCC301,0.649,0.066
FCC312_center,1.024,0.369
Gaia17chn,0.891,0.027
HCG40a,2.131,0.837
HCG86a,0.998,0.076
HCG86b,1.284,0.039
HCG86c,1.246,0.079
HCG88b,1.385,0.175
HCG90bd,1.259,0.138
HCG90c,1.052,0.15
HCG91c,0.63,0.11
HE0203-0031,1.16,0.07
HE0227-0913,0.986,0.001
HE0433-1028,0.844,0.339
HE1029-1831,0.782,0.042
HE1108-2813,0.521,0.033
HE1330-1013,0.635,0.063
HE1353-1917,0.642,0.048
HE2211-3903,0.541,0.056
HE2302-0857,0.676,0.066
IC1158_outer_1,0.737,0.016
IC1365,1.259,0.139
IC1481,1.058,0.05
IC1553,1.238,0.354
IC4296,0.979,0.267
IC4687,0.915,0.0
IC+5179,1.338,0.101
IC986,0.64,0.114
IC,0.929,0.065
IC_P1,0.745,0.113
iPTF13dge,0.852,0.049
iPTF13dkl,1.244,0.157
iPTF14gnl,1.39,0.14
IRAS,0.643,0.034
J0003112-544458,1.046,0.266
J0202308-505553,0.741,0.087
J1153082-323357,0.947,0.209
J1352252-345600,0.96,0.111
J1916325-401233,0.806,0.104
J2129374-211144,0.994,0.191
J2318463-102357,0.9,0.207
JO113,0.853,0.125
JO119_b,0.581,0.127
JO13,0.845,0.128
JO156,0.564,0.034
JO194,0.63,0.11
JO200,0.694,0.074
JO204,0.845,0.303
JO206,1.491,0.607
JO27,0.558,0.018
JO28,0.712,0.159
JO47,0.51,0.033
JO5_b,0.739,0.102
JO5,0.739,0.102
JO69,1.06,0.362
JW100,0.958,0.192
JW29,0.658,0.052
LSQ12cfx,0.732,0.054
LSQ12fvl,2.119,0.523
LSQ12gln,1.412,0.089
LSQ12hvj,0.605,0.048
LSQ12hxx_b,1.764,0.119
LSQ13cmt,1.561,0.159
LSQ13crf,0.684,0.063
LSQ13dcy,1.538,0.375
LSQ14bbv,0.782,0.383
LSQ14gde,0.789,0.049
LSQ15aja,1.696,0.229
LSQ15alq,1.267,0.081
MCUBE,0.967,0.268
Mrk,0.768,0.067
N4325,0.715,0.024
NGC0034,1.99,0.618
NGC0307,1.834,0.004
NGC0410,1.559,0.164
NGC0424,1.027,0.184
NGC0448,1.672,1.222
NGC0545_b,0.672,0.059
NGC0545,0.672,0.059
NGC0613,0.811,0.235
NGC0628-P7,0.645,0.012
NGC0924,0.871,0.073
NGC1042,0.798,0.08
NGC1060,0.793,0.036
NGC1068,1.44,0.773
NGC1097,0.769,0.148
NGC1218,1.05,0.075
NGC1291,1.777,0.722
NGC1300,1.176,0.375
NGC1326,0.975,0.313
NGC1427A,0.661,0.138
NGC1433,0.704,0.115
NGC1483,0.744,0.179
NGC1512,0.851,0.211
NGC1587,0.789,0.035
NGC1705,0.798,0.198
NGC2207,0.691,0.196
NGC2698,0.591,0.044
NGC289,0.72,0.201
NGC2906,0.721,0.129
NGC2960,0.766,0.028
NGC2992,0.887,0.21
NGC3091,1.199,0.209
NGC3256,0.507,0.023
NGC3311_FieldA_exp1,0.656,0.033
NGC3351,0.92,0.218
NGC3783,0.796,0.031
NGC4030,0.698,0.063
NGC4191,0.908,0.046
