name,SII_ratio
3C198,1.1539
A3128_B_0148,1.4459
A3266_B_0257,1.5355
AM1331-231,1.4017
AM1440-241_b,1.3171
AM1914-603,1.2285
AM1957-471,1.6795
AM2034-521,1.2535
AM2038-323,1.3718
AM2105-332_b,1.2753
AM2126-601,1.2908
AM2325-473,1.4975
Arp,1.2962
ASASSN13an,1.3999
ASASSN13ar_1,1.095
ASASSN13bb_1,0.9708
ASASSN13cc_2_new,1.4107
ASASSN13ch,1.3841
ASASSN13cu,1.2634
ASASSN14ba,1.2241
ASASSN14co,1.4289
ASASSN14db,1.3325
ASASSN14dd_1,1.3366
ASASSN14dl_1,1.3443
ASASSN-14dq,1.4574
ASASSN14fd,1.4152
ASASSN14iz,1.0815
ASASSN14jg,1.3699
ASASSN14kr,1.3334
ASASSN14lv,1.3065
ASASSN15db,1.3828
ASASSN-15ho_b,1.3783
ASASSN-15hs,1.308
ASASSN-15jp,1.424
ASASSN-15kz,1.4412
ASASSN-15qh,1.4022
ASASSN-15ta,1.3104
ASASSN-15tu,1.3901
ASASSN-16ab,1.4306
ASASSN-16ba,1.1186
ASASSN-16go,1.3767
ASASSN-16in,1.4307
ASASSN-17oj,1.4091
ASASSN-18oa,1.1215
ATLAS17hpc,1.4745
ESO148-IG002,1.2461
ESO_244-G012,1.1314
ESO498-G5,1.4044
ESO499-G37,1.3278
ESO,1.3958
HCG91c,1.4282
HE0227-0913,1.2693
HE0433-1028,1.2583
HE1029-1831,1.233
HE2211-3903,1.3253
IC1158_outer_1,1.3845
IC4687,1.3196
IC+5179,1.3851
IC,1.3752
iPTF13dge,1.5047
iPTF13dkl,1.457
iPTF14gnl,1.4264
JO13,1.4056
JO194,1.4076
JO200,1.3113
JO206,1.3811
JO5,1.3576
JO69,1.3484
LSQ13dcy,1.6097
LSQ14bbv,1.3596
Mrk,1.7863
NGC0424,1.1472
NGC0628-P7,1.4147
NGC1042,1.3889
NGC1068,1.2417
NGC1427A,1.2581
NGC1483,1.4252
NGC1512,1.396
NGC1705,1.441
NGC2207,1.4101
NGC289,1.4229
NGC2906,1.4689
NGC3256,1.2536
NGC3351,1.2529
NGC3783,1.2121
NGC4030,1.418
NGC4496A,1.4619
NGC4603,1.464
NGC4790,1.4371
NGC4941,1.1073
NGC4980,1.4289
NGC4981,1.4561
NGC5248,1.4129
NGC5334,1.4467
NGC5584,1.3913
NGC5806,1.3732
NGC6902,1.4106
NGC6926-S,1.4847
NGC7130,1.2726
NGC7140,1.3711
NGC7162,1.4274
NGC7421,1.3989
NGC7469,1.127
NGC7552,1.1971
NGC7742,1.3865
NGC7755,1.3531
NGC835,1.3362
NGC838,1.3313
NGC,1.2788
PGC098792,1.2016
PGC29334,1.3635
PGC3853,1.4023
PS1-13eao,1.3225
PS15aez,1.2853
PS15mt,1.3773
PSNJ10292799+2200468,1.3642
PTF11qnr,1.3884
PTF11qpc,1.3956
PTF11ra_1,1.3883
SCG0018_fieldA3,1.2581
SCG0018_fieldC,1.4013
SDSS094954+003658,1.4168
SDSSJ0959+1259_src4,1.3278
SDSSJ110923.1+105003,1.3654
SDSSJ154609.7+065353,1.4457
SN1985G,1.435
SN1991bj,1.4641
SN1997dn,1.4306
SN1997X,1.2842
SN1998bw,1.3959
SN1999br,1.4296
SN2000cl,1.4641
SN2001fv,1.4553
SN2002cr,1.4257
SN2002cx,1.4149
SN2004cs,1.3586
SN2005bg,1.278
SN2005bs,1.4089
SN2005gn,1.3423
SN2005hk,1.4039
SN2005iq,1.5642
SN2005lu,1.3092
SN2005lw,1.5174
SN2005Z,1.4451
SN2006bh,1.2793
SN2006ca,1.412
SN2006cu,1.4914
SN2006D,1.2537
SN2006E_2,1.3913
SN2006my,1.4439
SN2007ai,1.499
SN2007as,1.4682
SN2007cg,1.4034
SN2007gj_1,1.1499
SN2007le,1.4383
SN2007rz,1.42
SN2007S,1.4602
SN2007st,0.8673
SN2008ae,1.4381
SN2008ff,0.9984
SN2008fq,1.3883
SN2008fu,1.3597
SN2008gg,1.4117
SN2008J_2,1.4151
SN2008V,1.4394
SN2009aa,1.298
SN2009ds_1,1.277
SN2009I,1.3636
SN2009jr,1.3925
SN2009ku,1.3402
SN2009le_1,1.4265
SN2009N,1.42
SN2010A,1.1449
SN2010el,1.3526
SN2010ev_2,1.4232
SN2010F,1.4325
SN2011ce,1.4245
SN2011fh,1.4405
SN2011hb,1.1995
SN2012ec,1.424
SN2012et,1.3326
SN2012fw,1.4965
SN2012gm,1.3653
SN2012ho,1.493
SN2012Z,1.4425
SN2013cs,1.4081
SN2013fy,1.3913
SN2013M,1.3468
SN2014at,1.4281
SN2014at_P1_b,1.4342
SN2014cd,
SN2014cr,1.4006
SN2014dm_b,1.3946
SN2014dm,1.3855
SN2015H,1.3303
SN2016ecm,1.4164
SN2016iyd,1.5443
SN2016iye,1.4606
SN2016iyz,1.438
SN2017ahn,1.4015
SN2017blh,1.354
SN2017bzb,1.4703
SN2017caw,1.4779
SN2017cjd,1.4333
SN2017dch,1.4614
SN2017dek,1.327
SN2017eni,1.2481
SN2017fbu,1.4081
SN2017fem,1.4243
SN2017fgk,1.0094
SN2017fqk,1.343
SN2017fqo,1.3771
SN2017ful,1.3634
SN2017fvf,1.4134
SN2017fvr,1.4417
SN2017fwm,1.3862
SN2017gbv,1.4004
target_5_centre,1.3816
UGC02690,0.9785
