name,Hubble_type,Ttype
2MIG,E-S0,0
3C029,E,0
a85-1,Sc,14
Abell,E-S0,0
Antennae,None,0
ASASSN13an,Sa,10
ASASSN13bb_1,Sb,12
ASASSN13cc_2_new,Sbc,13
ASASSN13ch,S?,0
ASASSN13cj,Sbc,13
ASASSN13cp,E,0
ASASSN13cu,Sb,12
ASASSN13dd_1,S0,8
ASASSN13dm,None,0
ASASSN14ad,Sc,14
ASASSN14at,Sd,16
ASASSN14ba,None,0
ASASSN14bf,Sbc,13
ASASSN14co,None,0
ASASSN14cu,S0-a,9
ASASSN14db,Sc,14
ASASSN14dd_1,Sc,14
ASASSN14dl_1,SABb,11
ASASSN14dz,S0-a,9
ASASSN14eu,E,0
ASASSN14ew,None,0
ASASSN14fa,S0,8
ASASSN14fd,None,0
ASASSN14hr,S0-a,9
ASASSN14hu,Sbc,13
ASASSN14ig_1,Sb,12
ASASSN14iz,SBa,12
ASASSN14jb_2,Sc,14
ASASSN14jc,None,0
ASASSN14jg,Sc,14
ASASSN14jz,None,0
ASASSN14ko,Sa,10
ASASSN14kq,Sc,14
ASASSN14kr,None,0
ASASSN14li,E?,0
ASASSN14lp_1_new,SABc,11
ASASSN14lt,None,0
ASASSN14lu,E,0
ASASSN14lv,None,0
ASASSN14me_2,Sc,14
ASASSN14mw,E-S0,0
ASASSN15ab,Scd,15
ASASSN-14dq,None,0
ASASSN-15be,None,0
ASASSN-15bm,None,0
ASASSN15db,SBbc,12
ASASSN-15hf,E-S0,0
ASASSN-15hg,SBa,12
ASASSN-15ho_b,None,0
ASASSN-15ho,None,0
ASASSN-15hs,None,0
ASASSN-15hx,None,0
ASASSN-15hy,None,0
ASASSN-15ja,S0-a,9
ASASSN-15jp,None,0
ASASSN-15kz,None,0
ASASSN-15lh_b,None,0
ASASSN-15lh,None,0
ASASSN-15qh,None,0
ASASSN-15ta,None,0
ASASSN-15tu,None,0
ASASSN-16ab,None,0
ASASSN-16ba,None,0
ASASSN-16go,None,0
ASASSN-16in,None,0
ASASSN-17oj,None,0
ASASSN-18oa,None,0
AT2016jbu_1,Sbc,13
AT2017bif,None,0
ATLAS17hpc,None,0
cartwheel_OB3,E-S0,0
CCC,S0,8
CSP13aad,None,0
CSP13aao,None,0
CSP13abl,None,0
CSP13Q,None,0
CSP14aaq,E,0
CSS121006232854,None,0
CSS121114_090202+101800,S?,0
ESO137-001,SBc,13
ESO157-49,Sc,14
ESO443-21,Sc,14
ESO498-G5,SABb,11
ESO499-G37,SABc,11
ESO544-27,Sb,12
ESO,SBbc,12
FCC263,S0-a,9
HCG91c,Sc,14
HE,I,19
IC1158_outer_1,SABc,11
IC1481,Sd,16
IC1553,Scd,15
IC4296,E,0
IC+5179,Sbc,13
IC986,E-S0,0
IC,Sa,10
iPTF13dge,Sc,14
iPTF13dkl,None,0
iPTF14gnl,None,0
IRAS,S0-a,9
JO113,None,0
JO119_b,None,0
JO119,None,0
JO13,Sc,14
JO156,None,0
JO200,E?,0
JO201,Sc,14
JO204,None,0
JO27,None,0
JO28,None,0
JO36,None,0
JO47,S?,0
JO49,SBc,13
JO5_b,None,0
JO5,None,0
JW29,I,19
LSQ12cfx,S0-a,9
LSQ12fmx,Sbc,13
LSQ12fvl,S0-a,9
LSQ12gln,None,0
LSQ12hvj,None,0
LSQ12hxx_b,None,0
LSQ12hzs,None,0
LSQ13cmt,E,0
LSQ13crf,None,0
LSQ13cwp,None,0
LSQ13dcy,None,0
LSQ14act,None,0
LSQ14aeg,E,0
LSQ14ahc,None,0
LSQ14asu,S0-a,9
LSQ14bbv,None,0
LSQ14gde,None,0
LSQ14xi,S0-a,9
LSQ15aja,None,0
LSQ15alq,Sab,11
NGC0307,S0,8
NGC0410,E,0
NGC0424,S0-a,9
NGC0448,S0,8
NGC0545_b,None,0
NGC0545,E-S0,0
NGC0613,Sbc,13
NGC0924,S0,8
NGC1042,SABc,11
NGC1060,E-S0,0
