name,map_num,map_num_pc
3C198,16,4855
A3128_B_0148,16,3526
A3266_B_0257,16,3569
AM1331-231,32,4310
AM1440-241_b,64,3196
AM1914-603,16,834
AM1957-471,128,10860
AM2034-521,8,493
AM2038-323,16,1197
AM2105-332_b,256,19083
AM2126-601,16,1831
AM2325-473,16,3132
Arp,32,3454
ASASSN13an,16,1541
ASASSN13ar_1,16,1136
ASASSN13bb_1,32,2206
ASASSN13cc_2_new,64,2689
ASASSN13ch,16,1053
ASASSN13cu,16,1724
ASASSN14ba,16,2009
ASASSN14co,16,2091
ASASSN14db,32,4673
ASASSN14dd_1,16,1144
ASASSN14dl_1,8,433
ASASSN-14dq,16,673
ASASSN14fd,16,1020
ASASSN14iz,16,1224
ASASSN14jg,16,951
ASASSN14kr,32,1680
ASASSN14lv,16,3045
ASASSN15db,2,88
ASASSN-15ho_b,32,5180
ASASSN-15hs,16,587
ASASSN-15jp,8,303
ASASSN-15kz,16,509
ASASSN-15qh,8,333
ASASSN-15ta,16,947
ASASSN-15tu,16,782
ASASSN-16ab,16,281
ASASSN-16ba,16,893
ASASSN-16go,16,1029
ASASSN-16in,16,1026
ASASSN-17oj,16,1203
ASASSN-18oa,8,635
ATLAS17hpc,16,1177
ESO148-IG002,64,11174
ESO_244-G012,32,2873
ESO498-G5,8,264
ESO499-G37,4,51
ESO,16,1600
HCG91c,8,775
HE0227-0913,64,4210
HE0433-1028,16,2236
HE1029-1831,16,2522
HE2211-3903,16,2472
IC1158_outer_1,64,1520
IC4687,8,556
IC+5179,1,45
IC,8,281
iPTF13dge,8,508
iPTF13dkl,16,3183
iPTF14gnl,16,3292
JO13,16,2962
JO194,16,2616
JO200,16,3244
JO206,16,3162
JO5,16,3940
JO69,16,3379
LSQ13dcy,16,4774
LSQ14bbv,32,7161
Mrk,8,839
NGC0424,8,378
NGC0628-P7,16,141
NGC1042,4,73
NGC1068,8,123
NGC1427A,4,109
NGC1483,1,15
NGC1512,8,96
NGC1705,4,33
NGC2207,2,75
NGC289,2,43
NGC2906,8,239
NGC3256,2,76
NGC3351,8,83
NGC3783,4,157
NGC4030,1,19
NGC4496A,4,93
NGC4603,4,139
NGC4790,16,294
NGC4941,4,60
NGC4980,16,309
NGC4981,4,90
NGC5248,4,62
NGC5334,2,37
NGC5584,2,44
NGC5806,8,146
NGC6902,4,150
NGC6926-S,4,320
NGC7130,8,520
NGC7140,8,320
NGC7162,16,498
NGC7421,4,95
NGC7469,8,526
NGC7552,1,21
NGC7742,2,44
NGC7755,4,158
NGC835,8,434
NGC838,32,1652
NGC,2,43
PGC098792,16,3054
PGC29334,8,1072
PGC3853,4,59
PS1-13eao,16,2317
PS15aez,16,3249
PS15mt,16,4289
PSNJ10292799+2200468,16,3342
PTF11qnr,8,520
PTF11qpc,16,5248
PTF11ra_1,32,2234
SCG0018_fieldA3,8,367
SCG0018_fieldC,16,738
SDSS094954+003658,4,102
SDSSJ0959+1259_src4,16,2120
SDSSJ110923.1+105003,16,335
SDSSJ154609.7+065353,16,304
SN1985G,16,183
SN1991bj,16,1160
SN1997dn,4,72
SN1997X,8,119
SN1998bw,16,556
SN1999br,4,52
SN2000cl,4,151
SN2001fv,16,298
SN2002cr,16,609
SN2002cx,16,1523
SN2004cs,8,453
SN2005bg,32,2927
SN2005bs,16,3215
SN2005gn,16,2496
SN2005hk,8,418
SN2005iq,16,2140
SN2005lu,16,2021
SN2005lw,16,1637
SN2005Z,16,1234
SN2006bh,8,344
SN2006ca,16,571
SN2006cu,16,1805
SN2006D,16,551
SN2006E_2,16,176
SN2006my,4,43
SN2007ai,8,1000
SN2007as,16,1095
SN2007cg,16,2090
SN2007gj_1,8,540
SN2007le,4,108
SN2007rz,16,831
SN2007S,16,894
SN2007st,4,337
SN2008ae,16,1895
SN2008ff,8,613
SN2008fq,2,85
SN2008fu,16,3210
SN2008gg,16,2018
SN2008J_2,8,512
SN2008V,16,885
SN2009aa,16,1735
SN2009ds_1,8,617
SN2009I,8,829
SN2009jr,8,529
SN2009ku,16,4713
SN2009le_1,8,562
SN2009N,4,55
SN2010A,16,1318
SN2010el,2,40
SN2010ev_2,2,74
SN2010F,8,300
SN2011ce,4,140
SN2011fh,8,259
SN2011hb,8,914
SN2012ec,8,152
SN2012et,16,1584
SN2012fw,16,1201
SN2012gm,16,946
SN2012ho,8,319
SN2012Z,1,28
SN2013cs,16,602
SN2013fy,16,1953
SN2013M,8,1095
SN2014at,16,2071
SN2014at_P1_b,64,8187
SN2014cd,16,1317
SN2014cr,8,609
SN2014dm_b,32,4187
SN2014dm,64,8366
SN2015H,8,401
SN2016ecm,16,3640
SN2016iyd,16,2180
SN2016iye,4,286
SN2016iyz,64,2687
SN2017ahn,4,149
SN2017blh,16,2090
SN2017bzb,16,168
SN2017caw,16,1665
SN2017cjd,16,1442
SN2017dch,16,3012
SN2017dek,16,3808
SN2017eni,16,4852
SN2017fbu,4,175
SN2017fem,16,914
SN2017fgk,16,2119
SN2017fqk,8,325
SN2017fqo,32,1955
SN2017ful,16,4721
SN2017fvf,2,140
SN2017fvr,8,403
SN2017fwm,16,905
SN2017gbv,16,2639
target_5_centre,16,735
UGC02690,8,667
