name,PA,b2a,D,Re,PSF_pc,log(Mstar),error_log(Mstar),log(SFR),error_log(SFR),lcorr_50,lcorr_16,lcorr_84,w_inj50,w_inj16,w_inj84
3C198,170,0.762,313,3.72,1214,10.67,0.159,0.572,0.054,0.526,0.348,0.672,,,248
A3128_B_0148,29,0.555,227.3,1.7,804,9.925,0.146,-0.07,0.053,0.558,0.44,0.688,,,242
A3266_B_0257,114,0.481,230.1,2.67,1047,10.125,0.158,-0.164,0.053,0.833,0.663,1.032,,,284
AM1331-231,99,0.776,138.9,3.29,821,10.637,0.126,0.145,0.055,0.374,0.274,0.428,,,191
AM1440-241_b,124,0.436,51.5,4.72,573,10.318,0.123,0.131,0.059,0.344,0.335,0.352,,,113
AM1914-603,70,0.937,53.8,2.06,521,10.909,0.088,-0.39,0.063,0.253,0.249,0.259,13,5,17
AM1957-471,148,0.77,87.5,6.53,682,11.082,0.094,0.846,0.057,2.973,2.941,3.007,168,56,262
AM2034-521,103,0.869,63.6,5.55,356,11.248,0.083,0.219,0.062,0.3,0.295,0.303,,,61
AM2038-323,142,0.663,77.2,6.97,438,10.963,0.079,-0.119,0.062,0.62,0.602,0.64,,,42
AM2105-332_b,70,0.486,76.9,2.23,370,10.409,0.131,0.195,0.054,0.367,0.313,0.432,99,35,160
AM2126-601,161,0.878,118,6.72,1045,11.063,0.091,0.242,0.063,2.051,2.015,2.086,,,54
AM2325-473,93,0.709,202,14.94,1113,11.405,0.121,0.415,0.059,1.917,1.872,1.965,,,99
Arp,112,0.807,111.3,3.17,380,10.731,0.106,1.421,0.058,1.981,1.901,2.065,247,152,285
ASASSN13an,139,0.89,99.4,1.87,959,10.598,0.109,0.049,0.058,1.063,1.028,1.099,54,21,76
ASASSN13ar_1,66,0.899,73.3,5.45,297,10.083,0.082,-0.461,0.064,0.422,0.407,0.434,,,80
ASASSN13bb_1,60,0.748,71.1,5.02,342,10.668,0.103,-0.297,0.06,0.39,0.379,0.401,36,13,53
ASASSN13cc_2_new,73,0.794,43.3,0.87,196,10.566,0.089,0.065,0.056,0.363,0.361,0.367,15,6,25
ASASSN13ch,84,0.438,67.9,1.34,131,9.513,0.111,-0.132,0.055,0.308,0.29,0.33,76,36,102
ASASSN13cu,178,0.828,111.2,1.5,625,10.41,0.125,0.29,0.055,0.558,0.533,0.581,82,30,118
ASASSN14ba,48,0.425,129.5,1.37,543,9.857,1.001,-0.582,0.052,,,0.276,288,107,589
ASASSN14co,102,0.606,134.8,4.96,416,10.534,0.09,0.456,0.058,1.134,1.114,1.155,18,6,33
ASASSN14db,168,0.857,150.6,3.35,1601,10.911,0.124,0.599,0.058,0.937,0.887,0.983,166,60,231
ASASSN14dd_1,78,0.791,73.8,5.58,439,10.316,0.095,0.929,0.057,0.923,0.92,0.931,20,7,27
ASASSN14dl_1,169,0.5,55.8,3.66,525,10.791,0.134,-0.316,0.061,0.505,0.5,0.518,,,40
ASASSN-14dq,43,0.453,43.4,3.12,320,8.698,0.123,-1.029,0.059,0.985,0.952,1.02,,,61
ASASSN14fd,111,0.681,65.8,3.31,182,9.225,0.092,-0.224,0.058,0.566,0.54,0.616,58,20,81
ASASSN14iz,62,0.944,78.9,2.78,453,10.593,0.573,-0.04,0.06,0.349,0.33,0.366,,,178
ASASSN14jg,118,0.821,61.3,3.51,221,10.037,0.106,-0.227,0.063,0.366,0.359,0.371,29,10,42
ASASSN14kr,45,0.897,54.1,2.79,285,8.848,0.144,-0.688,0.06,0.138,0.13,0.145,,,66
ASASSN14lv,55,0.501,196.3,8.17,747,10.407,0.093,0.142,0.059,1.418,1.369,1.464,,,75
ASASSN15db,56,0.788,45.8,3.23,439,10.263,0.093,0.565,0.063,0.885,0.88,0.891,95,40,147
ASASSN-15ho_b,99,0.877,167,3.02,670,9.654,0.128,0.107,0.055,0.579,0.535,0.624,,,71
ASASSN-15hs,93,0.916,37.9,1.29,251,10.338,0.084,0.328,0.064,0.446,0.429,0.464,77,27,107
