name,l_50,l_16,l_84,l_10
3C198,0.526,0.348,0.672,0.279
A3128_B_0148,0.558,0.440,0.688,0.405
A3266_B_0257,0.833,0.663,1.032,0.618
AM1331-231,0.374,0.274,0.428,0.232
AM1440-241_b,0.344,0.335,0.352,0.332
AM1914-603,0.253,0.249,0.259,0.247
AM1957-471,2.973,2.941,3.007,2.932
AM2034-521,0.300,0.295,0.303,0.293
AM2038-323,0.620,0.602,0.640,0.596
AM2105-332_b,0.367,0.313,0.432,0.297
AM2126-601,2.051,2.015,2.086,2.005
AM2325-473,1.917,1.872,1.965,1.860
Arp,1.981,1.901,2.065,1.884
ASASSN13an,1.063,1.028,1.099,1.018
ASASSN13ar_1,0.422,0.407,0.434,0.404
ASASSN13bb_1,0.390,0.379,0.401,0.377
ASASSN13cc_2_new,0.363,0.361,0.367,0.359
ASASSN13ch,0.308,0.290,0.330,0.285
ASASSN13cu,0.558,0.533,0.581,0.526
ASASSN14ba,0.179,0.095,0.276,0.077
ASASSN14co,1.134,1.114,1.155,1.108
ASASSN14db,0.937,0.887,0.983,0.870
ASASSN14dd_1,0.923,0.920,0.931,0.920
ASASSN14dl_1,0.505,0.500,0.518,0.498
ASASSN-14dq,0.985,0.952,1.020,0.943
ASASSN14fd,0.566,0.540,0.616,0.535
ASASSN14iz,0.349,0.330,0.366,0.326
ASASSN14jg,0.366,0.359,0.371,0.358
ASASSN14kr,0.138,0.130,0.145,0.126
ASASSN14lv,1.418,1.369,1.464,1.356
ASASSN15db,0.885,0.880,0.891,0.878
ASASSN-15ho_b,0.579,0.535,0.624,0.522
ASASSN-15hs,0.446,0.429,0.464,0.424
ASASSN-15jp,2.952,2.929,2.976,2.922
ASASSN-15kz,0.257,0.245,0.266,0.243
ASASSN-15qh,0.207,0.202,0.212,0.200
ASASSN-15ta,0.134,0.084,0.173,0.071
ASASSN-15tu,0.288,0.281,0.295,0.279
ASASSN-16ab,0.167,0.158,0.179,0.158
ASASSN-16ba,0.527,0.509,0.546,0.503
ASASSN-16go,1.582,1.551,1.612,1.543
ASASSN-16in,0.354,0.336,0.370,0.330
ASASSN-17oj,0.574,0.551,0.596,0.545
ASASSN-18oa,0.640,0.629,0.650,0.626
ATLAS17hpc,2.130,2.098,2.174,2.088
ESO148-IG002,2.326,2.242,2.420,2.219
ESO_244-G012,0.668,0.657,0.679,0.653
ESO498-G5,0.155,0.152,0.158,0.152
ESO499-G37,0.138,0.134,0.145,0.130
ESO,0.425,0.366,0.465,0.345
