name,w_50,w_16,w_84,w_10
3C198,118,35,248,21
A3128_B_0148,108,31,242,20
A3266_B_0257,141,43,284,27
AM1331-231,92,29,191,17
AM1440-241_b,74,24,113,15
AM1914-603,13,5,17,3
AM1957-471,168,56,262,36
AM2034-521,41,13,61,8
AM2038-323,26,8,42,5
AM2105-332_b,99,35,160,23
AM2126-601,27,8,54,5
AM2325-473,50,16,99,11
Arp,247,152,285,105
ASASSN13an,54,21,76,14
ASASSN13ar_1,53,16,80,10
ASASSN13bb_1,36,13,53,8
ASASSN13cc_2_new,15,6,25,4
ASASSN13ch,76,36,102,24
ASASSN13cu,82,30,118,19
ASASSN14ba,288,107,589,67
ASASSN14co,18,6,33,4
ASASSN14db,166,60,231,40
ASASSN14dd_1,20,7,27,5
ASASSN14dl_1,28,9,40,6
ASASSN-14dq,29,9,61,5
ASASSN14fd,58,20,81,13
ASASSN14iz,88,28,178,18
ASASSN14jg,29,10,42,6
ASASSN14kr,35,10,66,6
ASASSN14lv,40,13,75,8
ASASSN15db,95,40,147,28
ASASSN-15ho_b,36,11,71,7
ASASSN-15hs,77,27,107,16
ASASSN-15jp,12,4,20,3
ASASSN-15kz,15,5,27,3
ASASSN-15qh,13,3,23,2
ASASSN-15ta,15,4,35,3
ASASSN-15tu,43,15,62,9
ASASSN-16ab,15,5,23,3
ASASSN-16ba,26,6,69,4
ASASSN-16go,14,5,25,4
ASASSN-16in,15,4,38,2
ASASSN-17oj,26,8,52,5
ASASSN-18oa,20,8,31,5
ATLAS17hpc,11,4,19,3
ESO148-IG002,31,11,57,7
ESO_244-G012,58,17,86,11
ESO498-G5,15,5,21,3
ESO499-G37,125,119,131,117
ESO,423,356,452,327
HCG91c,8,3,16,2
HE0227-0913,45,15,73,8
HE0433-1028,38,13,72,8
HE1029-1831,72,21,143,13
HE2211-3903,2,1,59,0
IC1158_outer_1,18,6,25,4
IC4687,64,24,90,16
IC+5179,152,120,169,112
IC,51,18,68,12
iPTF13dge,25,8,38,5
iPTF13dkl,1954,439,3955,254
iPTF14gnl,928,488,1103,331
JO13,124,45,198,28
JO194,6,2,38,2
JO200,127,42,197,27
JO206,369,121,505,73
JO5,76,25,147,16
JO69,139,41,265,26
LSQ13dcy,573,151,1638,91
LSQ14bbv,55,19,108,12
Mrk,24,9,34,6
NGC0424,37,11,56,7
NGC0628-P7,8,2,11,1
NGC1042,46,18,62,10
NGC1068,7,6,9,5
NGC1427A,4,1,6,1
NGC1483,2,0,6,0
NGC1512,11,4,16,2
NGC1705,4,1,7,1
NGC2207,7,2,13,2
NGC289,19,8,26,5
NGC2906,41,17,56,11
NGC3256,48,29,57,24
NGC3351,3,1,5,1
NGC3783,24,10,35,7
NGC4030,5,2,10,1
NGC4496A,4,2,5,1
NGC4603,13,6,18,5
NGC4790,4,1,9,1
NGC4941,6,2,9,1
NGC4980,1,0,3,0
NGC4981,21,7,30,4
NGC5248,8,3,13,2
NGC5334,3,2,5,2
NGC5584,11,9,14,8
NGC5806,12,4,17,3
NGC6902,27,10,42,7
NGC6926-S,264,113,279,4
