name,s_50,s_16,s_84
3C198,0.186,0.059,0.366
A3128_B_0148,0.179,0.059,0.352
A3266_B_0257,0.232,0.081,0.431
AM1331-231,0.152,0.054,0.279
AM1440-241_b,0.120,0.049,0.167
AM1914-603,0.018,0.007,0.025
AM1957-471,0.349,0.206,0.413
AM2034-521,0.070,0.025,0.091
AM2038-323,0.041,0.015,0.064
AM2105-332_b,0.145,0.064,0.225
AM2126-601,0.041,0.014,0.076
AM2325-473,0.083,0.027,0.154
Arp,0.221,0.093,0.354
ASASSN13an,0.078,0.029,0.107
ASASSN13ar_1,0.098,0.047,0.121
ASASSN13bb_1,0.056,0.023,0.076
ASASSN13cc_2_new,0.040,0.031,0.047
ASASSN13ch,0.074,0.029,0.117
ASASSN13cu,0.133,0.062,0.177
ASASSN14ba,0.256,0.095,0.439
ASASSN14co,0.026,0.010,0.046
ASASSN14db,0.245,0.095,0.328
ASASSN14dd_1,0.029,0.016,0.039
ASASSN14dl_1,0.043,0.015,0.059
ASASSN-14dq,0.053,0.018,0.103
ASASSN14fd,0.084,0.032,0.114
ASASSN14iz,0.125,0.048,0.228
ASASSN14jg,0.049,0.022,0.063
ASASSN14kr,0.060,0.021,0.104
ASASSN14lv,0.061,0.020,0.110
ASASSN15db,0.194,0.111,0.230
ASASSN-15ho_b,0.054,0.017,0.105
ASASSN-15hs,0.114,0.047,0.152
ASASSN-15jp,0.019,0.006,0.029
ASASSN-15kz,0.022,0.008,0.039
ASASSN-15qh,0.021,0.006,0.035
ASASSN-15ta,0.024,0.006,0.054
ASASSN-15tu,0.069,0.028,0.091
ASASSN-16ab,0.024,0.010,0.034
ASASSN-16ba,0.041,0.011,0.101
ASASSN-16go,0.020,0.007,0.037
ASASSN-16in,0.023,0.006,0.057
ASASSN-17oj,0.040,0.014,0.077
ASASSN-18oa,0.034,0.015,0.046
ATLAS17hpc,0.015,0.005,0.027
ESO148-IG002,0.048,0.017,0.087
ESO_244-G012,0.101,0.045,0.128
ESO498-G5,0.025,0.012,0.032
ESO499-G37,0.015,0.005,0.027
ESO,0.237,0.093,0.400
HCG91c,0.015,0.006,0.024
HE0227-0913,0.073,0.030,0.109
HE0433-1028,0.060,0.024,0.108
HE1029-1831,0.120,0.040,0.212
HE2211-3903,0.003,0.001,0.089
IC1158_outer_1,0.028,0.011,0.037
IC4687,0.101,0.045,0.131
IC+5179,0.118,0.048,0.176
IC,0.069,0.026,0.096
iPTF13dge,0.044,0.018,0.056
iPTF13dkl,0.607,0.226,1.064
iPTF14gnl,0.847,0.330,1.381
JO13,0.203,0.084,0.297
JO194,0.008,0.003,0.055
JO200,0.215,0.082,0.295
JO206,0.517,0.214,0.706
JO5,0.122,0.042,0.217
JO69,0.223,0.076,0.394
LSQ13dcy,0.735,0.239,1.532
LSQ14bbv,0.085,0.030,0.161
Mrk,0.036,0.014,0.049
NGC0424,0.067,0.030,0.085
NGC0628-P7,0.013,0.005,0.016
NGC1042,0.075,0.046,0.096
NGC1068,0.012,0.010,0.014
NGC1427A,0.007,0.004,0.009
NGC1483,0.001,0.000,0.012
NGC1512,0.019,0.008,0.024
NGC1705,0.012,0.009,0.013
NGC2207,0.014,0.006,0.021
NGC289,0.036,0.025,0.043
NGC2906,0.059,0.027,0.079
NGC3256,0.046,0.019,0.072
NGC3351,0.004,0.001,0.007
NGC3783,0.039,0.017,0.050
NGC4030,0.023,0.020,0.024
NGC4496A,0.008,0.006,0.009
NGC4603,0.024,0.014,0.028
NGC4790,0.020,0.016,0.021
NGC4941,0.011,0.006,0.013
NGC4980,0.001,0.000,0.004
NGC4981,0.041,0.026,0.049
NGC5248,0.021,0.014,0.023
NGC5334,0.019,0.018,0.019
NGC5584,0.016,0.013,0.019
NGC5806,0.018,0.007,0.024
NGC6902,0.048,0.024,0.062
NGC6926-S,0.131,0.046,0.297
NGC7130,0.191,0.116,0.223
NGC7140,0.010,0.004,0.018
NGC7162,0.010,0.005,0.012
NGC7421,0.026,0.020,0.030
NGC7469,0.079,0.033,0.096
NGC7552,0.068,0.060,0.071
NGC7742,0.043,0.033,0.048
NGC7755,0.060,0.034,0.078
NGC835,0.116,0.044,0.155
NGC838,0.063,0.026,0.085
NGC,0.043,0.029,0.049
PGC098792,0.271,0.096,0.479
PGC29334,0.095,0.038,0.145
PGC3853,0.024,0.016,0.027
PS1-13eao,0.203,0.078,0.293
PS15aez,0.232,0.071,0.505
PS15mt,0.464,0.129,1.119
PSNJ10292799+2200468,0.091,0.028,0.188
PTF11qnr,0.035,0.012,0.061
PTF11qpc,0.753,0.276,1.309
PTF11ra_1,0.054,0.019,0.105
SCG0018_fieldA3,0.107,0.047,0.137
SCG0018_fieldC,0.084,0.037,0.119
SDSS094954+003658,0.058,0.023,0.082
SDSSJ0959+1259_src4,0.123,0.045,0.221
SDSSJ110923.1+105003,0.019,0.008,0.033
SDSSJ154609.7+065353,0.021,0.005,0.041
SN1985G,0.023,0.011,0.032
SN1991bj,0.219,0.103,0.263
SN1997dn,0.010,0.003,0.013
SN1997X,0.017,0.007,0.024
SN1998bw,0.045,0.017,0.062
SN1999br,0.011,0.010,0.012
SN2000cl,0.010,0.004,0.015
SN2001fv,0.034,0.025,0.037
SN2002cr,0.046,0.018,0.070
SN2002cx,0.621,0.262,0.866
SN2004cs,0.004,0.001,0.004
SN2005bg,0.042,0.013,0.076
SN2005bs,0.265,0.108,0.392
SN2005gn,0.046,0.015,0.087
SN2005hk,0.093,0.038,0.136
SN2005iq,0.038,0.013,0.071
SN2005lu,0.025,0.010,0.048
SN2005lw,0.333,0.125,0.579
SN2005Z,0.020,0.007,0.035
SN2006bh,0.103,0.039,0.193
SN2006ca,0.008,0.003,0.017
SN2006cu,0.233,0.089,0.417
SN2006D,0.112,0.053,0.164
SN2006E_2,0.018,0.008,0.030
SN2006my,0.000,0.000,0.000
SN2007ai,0.019,0.007,0.031
SN2007as,0.044,0.016,0.062
SN2007cg,0.119,0.044,0.196
SN2007gj_1,0.035,0.012,0.053
SN2007le,0.002,0.001,0.002
SN2007rz,0.197,0.076,0.323
SN2007S,0.044,0.016,0.078
SN2007st,0.033,0.013,0.046
SN2008ae,0.149,0.061,0.192
SN2008ff,0.221,0.093,0.376
SN2008fq,0.012,0.005,0.015
SN2008fu,0.265,0.112,0.346
SN2008gg,0.060,0.021,0.111
SN2008J_2,0.025,0.010,0.040
SN2008V,0.162,0.124,0.178
SN2009aa,0.035,0.012,0.063
SN2009ds_1,0.032,0.014,0.042
SN2009I,0.028,0.011,0.039
SN2009jr,0.020,0.007,0.030
SN2009ku,0.729,0.203,1.500
SN2009le_1,0.012,0.004,0.015
SN2009N,0.006,0.003,0.008
SN2010A,0.032,0.010,0.053
SN2010el,0.068,0.055,0.074
SN2010ev_2,0.035,0.015,0.045
SN2010F,0.009,0.004,0.013
SN2011ce,0.002,0.001,0.003
SN2011fh,0.003,0.001,0.006
SN2011hb,0.028,0.009,0.053
SN2012ec,0.016,0.016,0.017
SN2012et,0.313,0.119,0.422
SN2012fw,0.041,0.013,0.078
SN2012gm,0.015,0.005,0.026
SN2012ho,0.017,0.008,0.021
SN2012Z,0.018,0.016,0.020
SN2013cs,0.087,0.027,0.161
SN2013fy,0.078,0.029,0.114
SN2013M,0.105,0.035,0.172
SN2014at,0.206,0.122,0.245
SN2014at_P1_b,0.048,0.016,0.094
SN2014cd,0.041,0.013,0.068
SN2014cr,0.118,0.077,0.131
SN2014dm_b,0.375,0.163,0.499
