name,total_number,fill_f_A,fill_f_p,l1_norm
3C296,1,0.0000,0.0000,nan
ASASSN-17ny,10,0.0001,0.0877,nan
AM2019-442,9,0.0001,0.1011,nan
HCG86a,4,0.0001,0.0354,nan
FCC190,1,0.0000,0.0000,nan
A3266_B_0257,990,0.0155,0.6479,1.6
IC1481,0,0.0000,0.0000,nan
HE2302-0857,1027,0.0187,0.1954,3.0
ASASSN13cp,1446,0.0227,0.1454,4.0
ASASSN14db,4424,0.0841,0.4280,1.7
3C75_b,19,0.0001,0.0709,nan
ASASSN14fa,14,0.0003,0.0097,10.0
CSS121006232854,116,0.0015,0.2210,4.7
iPTF13dkl,1223,0.0177,0.5064,1.0
ESO379-7_2,946,0.0121,0.3311,3.1
HE0433-1028,3182,0.0653,0.4257,1.9
ASASSN14ad,2495,0.0300,0.3801,1.5
HE1330-1013,976,0.0221,0.2804,5.0
ESO544-27,2063,0.0238,0.2370,2.9
ASASSN14ba,306,0.0047,0.4215,1.6
AM2050-441,127,0.0009,0.0701,4.6
3C227,720,0.0096,0.0976,5.7
FCC249,0,0.0000,0.0000,nan
HCG86b,1,0.0000,0.0000,nan
AM2113-341,1146,0.0123,0.1908,4.5
A2052_WFM,286,0.0041,0.0802,1.8
ESO185,5,0.0001,0.0083,nan
ASASSN-15ho_b,2322,0.0341,0.7522,1.0
3C076.1,3,0.0001,0.0106,nan
ASASSN-15hy,10,0.0001,0.1639,420.4
ASASSN-15bd,1018,0.0209,0.3180,2.0
ASASSN14lt,15,0.0003,0.1042,9.1
ASASSN-16ba,5154,0.0566,0.3516,1.6
ATLAS17lsn,2452,0.0481,0.3527,5.3
ASASSN14kr,3731,0.0761,0.2193,1.2
Arp288,3039,0.0196,0.2953,1.6
ASASSN13an,4310,0.0496,0.5310,0.9
HCG86c,3,0.0001,0.0034,nan
3C264,2,0.0000,0.0000,nan
ESO379-G024,182,0.0034,0.3303,19.9
ASASSN13cu,2661,0.0321,0.6903,0.6
3C318.1,31,0.0005,0.0502,13.2
J0003112-544458,0,0.0000,0.0000,nan
CSS121114_090202+101800,396,0.0057,0.1779,3.4
ASASSN14me_2,1277,0.0095,0.1282,1.5
J0202308-505553,1,0.0000,0.0000,nan
AM1331-231,1828,0.0628,0.2545,2.3
FCC301,3,0.0000,0.0183,nan
3C75,19,0.0001,0.0709,nan
HE1029-1831,1623,0.0434,0.3021,1.2
3C,0,0.0000,0.0000,nan
iPTF14gnl,5676,0.0801,0.6443,0.8
ASASSN14bf,533,0.0077,0.1038,3.3
AM2210-262,2786,0.0313,0.2423,1.1
3C196.1,128,0.0018,0.2257,5.9
J2318463-102357,0,0.0000,0.0000,nan
CCC,8,0.0001,0.0606,nan
A2626,24,0.0003,0.0441,6.7
HE1353-1917,639,0.0163,0.1570,3.9
ASASSN14li,42,0.0008,0.1170,7.3
3C442,25,0.0003,0.0563,14.4
ASASSN13dd_1,3,0.0001,0.0286,nan
3C277.3,2300,0.0569,0.2897,2.7
J1352252-345600,8,0.0001,0.0157,nan
ASASSN14lv,5035,0.0831,0.4660,0.9
ASASSN-15ja,58,0.0006,0.0538,20.7
ASASSN-15hs,5050,0.0685,0.3679,0.7
ASASSN-15tu,12827,0.2091,0.5207,1.2
ASASSN14fd,7824,0.1133,0.4345,0.5
ASASSN-14dq,5693,0.0749,0.3143,1.3
ASASSN-17oj,3679,0.0425,0.2762,2.2
J1153082-323357,8,0.0002,0.0333,nan
ASASSN14ig_1,11023,0.1162,0.3874,2.3
1414,5514,0.0663,0.3031,1.8
AM2105-332_b,850,0.0074,0.5221,0.9
ASASSN14at,4787,0.0589,0.4638,1.1
HCG88b,11400,0.1391,0.3815,4.1
IC,9615,0.0984,0.2911,1.2
ASASSN-15lh,30,0.0004,0.2344,15.8
A3128_B_0148,809,0.0100,0.7223,0.9
ESO321-14,3323,0.0396,0.1410,1.3
3C198,1189,0.0246,0.6790,1.9
JO113,1481,0.0178,0.4773,1.1
ASASSN14mw,49,0.0009,0.0081,27.6
HE1108-2813,3856,0.0735,0.4390,2.6
J1916325-401233,5,0.0001,0.0045,nan
ESO137-001,9673,0.0377,0.4851,0.9
IC4687,17381,0.2155,0.5693,1.5
ESO325-G004,1,0.0000,0.0000,nan
IRAS,3452,0.0352,0.1145,1.3
ASASSN14dz,9,0.0001,0.1385,nan
J2129374-211144,1,0.0000,0.0000,nan
ASASSN-14ma,453,0.0157,0.2986,10.8
ASASSN14eu,0,0.0000,0.0000,nan
JO13,3227,0.0458,0.5957,0.6
ASASSN-18eo,142,0.0027,0.2610,3.5
JO5_b,3,0.0001,0.0291,nan
JO27,785,0.0127,0.3084,2.4
ASASSN-16go,9407,0.1494,0.6176,0.9
AM1440-241,81,0.0008,0.0404,7.0
HE2211-3903,5981,0.0863,0.4381,1.5
AM2303-305,3057,0.0385,0.2960,3.7
ASASSN-15hx,789,0.0114,0.2201,2.6
LSQ12fvl,5,0.0001,0.1064,nan
CEN06,1411,0.0175,0.2117,2.1
LSQ12hxx_b,9,0.0001,0.2000,nan
ASASSN-14az,273,0.0046,0.1016,4.9
JO119_b,233,0.0036,0.2468,3.4
AM2126-601,12905,0.1471,0.4072,1.1
ASASSN-16ab,4657,0.1042,0.3744,0.4
ESO,12515,0.1377,0.4647,0.8
ESO469-15,13680,0.1597,0.4633,0.7
JW100,2658,0.0411,0.2244,3.3
LSQ15aja,520,0.0071,0.6190,3.4
ASASSN14iz,2709,0.0508,0.2253,2.1
ASASSN14co,9894,0.1696,0.7125,0.4
JO200,8331,0.0680,0.5059,1.0
2MIG,21,0.0003,0.0585,6.2
LSQ13dcy,3130,0.0478,0.4195,0.9
AM2105-332,4,0.0000,0.0091,nan
HCG90bd,607,0.0085,0.0479,4.6
ASASSN14hu,5505,0.0967,0.4735,2.4
JO156,637,0.0103,0.2370,3.1
ESO_244-G012,12420,0.1587,0.4983,0.7
LSQ12gln,14,0.0002,0.0870,nan
ASASSN-15kj,18371,0.2689,0.6686,0.8
JO5,2487,0.0351,0.5540,1.1
ASASSN13ar_1,11166,0.1109,0.3602,0.8
JO28,343,0.0044,0.2107,1.4
ESO_353-G020,874,0.0111,0.1870,3.1
ESO148-IG002,3721,0.0565,0.2574,2.4
Arp,13703,0.1895,0.6691,1.6
ASASSN-15ln,2813,0.0477,0.3392,1.7
LSQ13cmt,13,0.0002,0.0191,3.8
ASASSN-18oa,19900,0.2257,0.5595,1.1
NGC1300,1084,0.0132,0.1944,1.2
FCC177_center,4,0.0000,0.0020,nan
ASASSN14jg,17747,0.2109,0.5995,1.1
NGC1433,895,0.0096,0.0485,4.8
AM1440-241_b,5921,0.0662,0.3813,1.2
JW29,597,0.0088,0.2095,5.5
HCG90c,19,0.0002,0.0036,33.9
NGC2698,10,0.0001,0.0137,nan
NGC2960,0,0.0000,0.0000,nan
LSQ15alq,2213,0.0258,0.3403,2.2
3C029,24,0.0003,0.1455,7.2
LSQ14bbv,3806,0.0543,0.4208,0.8
NGC4643,0,0.0000,0.0000,nan
LSQ12hvj,637,0.0118,0.3412,1.6
ASASSN-16in,3582,0.0862,0.3922,1.3
JO204,3559,0.0428,0.3839,1.1
JO69,1931,0.0402,0.4020,1.1
ASASSN-18ul,13,0.0002,0.0537,nan
ASASS14kp,62,0.0009,0.1220,5.9
AM2325-473,9924,0.0835,0.4385,0.8
ASASSN-16ai,1080,0.0136,0.1377,2.8
JO47,1300,0.0173,0.2951,1.5
NGC5419,1,0.0000,0.0000,nan
IC_P1,1414,0.0155,0.0506,2.9
LSQ13crf,1039,0.0132,0.2698,2.1
ESO320-14,256,0.0028,0.0890,2.2
MCUBE,4,0.0001,0.0011,38.3
NGC0307,5,0.0001,0.0562,31.5
NGC1326,2764,0.0302,0.0688,1.8
NGC1587,28,0.0004,0.0062,10.2
JO194,6835,0.0554,0.3700,1.3
LSQ14gde,191,0.0029,0.2326,5.2
LSQ12cfx,1498,0.0260,0.2140,3.9
ASASSN14jz,3522,0.0418,0.3492,1.6
NGC5850,92,0.0012,0.0279,7.2
NGC5010,1579,0.0222,0.2913,1.8
ASASSN14jb_2,3979,0.0397,0.1444,1.3
NGC5626,254,0.0028,0.0226,4.6
AM1914-603,7443,0.0846,0.3267,1.9
NGC1097,9916,0.1018,0.1177,2.9
NGC1218,0,0.0000,0.0000,nan
ASASSN15ab,14945,0.1488,0.4244,1.0
NGC1291,0,0.0000,0.0000,nan
JO206,8500,0.0612,0.5253,1.3
ASASSN-15kz,5006,0.0678,0.1793,1.2
ASASSN14ko,1173,0.0175,0.1778,2.1
ASASSN13bb_1,8431,0.0684,0.2793,1.7
ASASSN-15lx,1932,0.0239,0.2869,1.8
PGC003342,10,0.0001,0.0398,nan
PGC007748,9,0.0001,0.1731,nan
NGC0410,20,0.0002,0.0519,8.8
PGC004500,2,0.0000,0.0000,nan
PGC0047590,0,0.0000,0.0000,nan
NGC5102,995,0.0104,0.0142,2.6
ASASSN-15lh_b,16,0.0002,0.1322,125.9
NGC4261,53,0.0005,0.0344,12.2
NGC6240,2188,0.0214,0.0675,2.8
PGC046832,29,0.0004,0.2248,4.8
AM2034-521,24276,0.2085,0.4280,0.9
NGC6658,0,0.0000,0.0000,nan
NGC835,6779,0.0801,0.2075,1.4
NGC0448,7,0.0001,0.0053,9.5
PGC047467,2429,0.0388,0.3114,2.1
PGC015524,208,0.0020,0.0577,2.2
PGC098792,3181,0.0596,0.2942,1.2
PGC099188,1,0.0000,0.0000,nan
ESO498-G5,15042,0.1615,0.3995,0.7
NGC0613,9501,0.0939,0.1100,3.0
ASASSN-15ng,25237,0.3008,0.6704,0.4
AM2146-350,14,0.0001,0.0023,9.6
PGC047154,6,0.0001,0.0800,nan
NGC4371,4,0.0000,0.0563,nan
PS15mt,808,0.0135,0.4268,1.4
NGC0545_b,28,0.0003,0.0255,3.7
PS1-14ra,1020,0.0133,0.1946,1.9
NGC5507,14,0.0002,0.0054,6.8
PGC047177,3,0.0000,0.0098,nan
PGC018236,13,0.0002,0.1429,4.4
PGC065588,16,0.0002,0.0518,4.1
PGC099522,142,0.0030,0.1825,12.3
ATLAS17hpc,16913,0.2248,0.7195,1.2
NGC4696D,25,0.0002,0.0557,12.7
PGC28308,6166,0.0674,0.3473,1.4
NGC0545,8,0.0001,0.0510,nan
PGC097958,5,0.0002,0.0382,nan
NGC2992,2137,0.0229,0.0421,3.5
S555,138,0.0049,0.0992,8.7
PS15aez,2246,0.0337,0.4523,1.6
NGC0424,5587,0.0639,0.1465,2.1
IC1158_outer_1,19806,0.1117,0.3275,1.7
SDSSJ0959+1259_src4,1069,0.0266,0.6690,1.4
Mrk,25401,0.2886,0.4429,0.5
PSNJ2241147,7062,0.3488,0.5870,1.0
IC1365,1,0.0000,0.0000,nan
NGC5728,4030,0.0421,0.1075,3.4
SCG0018_fieldC,2727,0.0484,0.3976,0.6
NGC,12008,0.1257,0.1534,1.1
AM2038-323,9063,0.0755,0.3555,1.3
NGC3091,3,0.0001,0.3333,nan
PGC29334,5282,0.1076,0.6917,1.3
NGC4941,10120,0.1017,0.1427,2.0
PS15mb,347,0.0052,0.3074,2.5
NGC7742,14451,0.1705,0.2364,0.8
NGC_P1,1086,0.0130,0.1966,1.7
NGC1042,19165,0.1744,0.3264,2.4
ASASSN-15jp,24319,0.2861,0.6340,1.0
SDSSJ142710.8+050805,935,0.0228,0.0801,3.7
NGC1427A,16321,0.2127,0.3757,1.4
N4325,101,0.0033,0.0337,9.0
NGFS033807-,3,0.0001,0.2308,nan
NGC4486,154,0.0017,0.0107,1.1
NGC4706,11,0.0001,0.0377,5.5
SDSSJ110923.1+105003,5752,0.0900,0.3570,0.8
NGC1060,17,0.0002,0.0509,nan
SN2003hg,1106,0.0154,0.2470,3.6
